id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
946902882096693074,Ruim appartement in Antwerpen,11489827,Zaki,,Deurne Zuid West,51.20849,4.47105,Entire home/apt,218,5,1,2023-10-03,0.06,1,173,0,
947620549247230029,Studio Sol Antwerpen,67544001,Hannelore,,Oud - Berchem,51.1939799,4.4181398,Entire home/apt,67,1,48,2025-03-15,3.68,1,230,43,
947659383181019345,Rijhuis met patio,27552149,Florence,,Amandus - Atheneum,51.22473,4.42011,Entire home/apt,,15,0,,,2,0,0,
947708786432196952,Penthouse studio Antwerp,469958805,Alexander,,Stuivenberg,51.2213146,4.4294878,Entire home/apt,48,1,218,2025-03-18,11.14,3,254,124,
947857461503943095,Gezellige flat in Antwerpen,27878731,Julie,,Stadspark,51.2063268,4.4154513,Entire home/apt,,2,5,2023-10-08,0.25,1,0,0,
949304650787616003,Beautiful Attic Bedroom,12228992,Isis,,Borgerhout Intra Muros Zuid,51.2134083,4.432021300000001,Private room,54,2,59,2025-02-17,3.02,4,334,25,
949829223530143937,Charming Studio in Antwerp,12228992,Isis,,Borgerhout Intra Muros Zuid,51.2134083,4.432021300000001,Entire home/apt,70,2,92,2025-03-02,4.65,4,286,56,
949876425863738481,Classic Studio Apartment,15930194,Nas Nas,,Harmonie,51.20251,4.40624,Entire home/apt,62,1,13,2025-02-17,1.17,1,139,13,
950726295246059052,Charmant oud herenhuis,142883618,Ruth,,Stadspark,51.21056,4.41047,Entire home/apt,78,2,2,2025-03-03,1.76,2,63,2,
951143645918442365,Ruim appartement met uniek zicht over de stad,62227725,Bert,,Stadspark,51.20771,4.41638,Entire home/apt,68,2,78,2024-12-01,3.97,1,216,41,
952013154599597254,Cosy Studio @ Center of Antwerp,237840081,Simon,,Markgrave,51.19563,4.40512,Entire home/apt,85,2,40,2025-03-09,3.13,1,222,39,
953387047107666010,Beethoven,21553491,Syuzanna,,Merksem - Heide,51.2492,4.46344,Entire home/apt,85,3,3,2024-06-08,0.21,1,114,2,
954061933786795460,Nieuw: Cosy & stylish apartment,7223343,Eline,,Oud - Berchem,51.1965,4.42035,Entire home/apt,70,2,63,2025-03-13,3.97,1,62,45,
954092514142048765,Antwerp Center Cozy Cityflats 3,165436938,Ella,,Universiteitsbuurt,51.22476899999999,4.4098738,Entire home/apt,49,1,52,2025-02-11,2.77,96,311,27,
954110820485823192,Antwerp Center Cozy Cityflats 5,165436938,Ella,,Universiteitsbuurt,51.22476899999999,4.4098738,Entire home/apt,49,1,52,2025-03-14,2.65,96,343,20,
954116680947972129,Antwerp Center Cozy Cityflats 7,165436938,Ella,,Universiteitsbuurt,51.22476899999999,4.4098738,Entire home/apt,49,1,74,2025-03-16,3.81,96,337,59,
954125592221989999,Antwerp Center Cozy Cityflats 4,165436938,Ella,,Universiteitsbuurt,51.22476899999999,4.4098738,Entire home/apt,49,1,24,2025-02-01,1.23,96,297,12,
954130629095009292,Antwerp Center Cozy Cityflats 6,165436938,Ella,,Universiteitsbuurt,51.22476899999999,4.4098738,Entire home/apt,49,1,42,2024-09-19,2.15,96,345,23,
954136663550258776,Chambres au cœur d'Anvers,530821779,Oscar,,Stuivenberg,51.2263233,4.4356879,Private room,37,1,0,,,1,76,0,
954140529850089770,Antwerp Center Cozy Cityflats 8,165436938,Ella,,Universiteitsbuurt,51.22476899999999,4.4098738,Entire home/apt,49,1,12,2025-02-15,0.61,96,364,5,
957124721453225431,Royal South - Apartment Antwerp with Park view,60468171,Diego,,Zuid,51.2081,4.38795,Entire home/apt,80,1,45,2025-03-08,2.36,2,311,28,
959255891469220838,Privé-villa in oase van rust,76077597,Bram,,Middelheim,51.18054,4.40881,Entire home/apt,1486,1,0,,,7,365,0,
959270983678562306,Merksem biz 2,496406662,Ekaterina,,Lambrechtshoeken,51.25511,4.43476,Entire home/apt,180,6,1,2024-05-17,0.10,27,269,1,
959962266784950992,Boutique City Apartment,23457813,Anneleen,,Zuid,51.21089,4.39787,Entire home/apt,61,30,12,2025-03-04,0.71,2,143,8,
960263103918005045,Appartement te Borgerhout,15127530,Lieselot,,Borgerhout Intra Muros Zuid,51.21172,4.43125,Entire home/apt,80,2,24,2025-03-09,1.34,1,5,19,
960769655682130317,Large & Authentic City Center Apartments 4R,490705947,Emma,,Amandus - Atheneum,51.2213682,4.4216136,Entire home/apt,50,1,9,2024-08-11,0.48,55,336,7,
960777594466114231,Large & Authentic City Center Apartments 4L,317037207,Lisa,,Amandus - Atheneum,51.2213682,4.4216136,Entire home/apt,49,1,42,2025-03-16,2.18,50,341,30,
960788393676554330,Large & Authentic City Center Apartments 4R,317037207,Lisa,,Amandus - Atheneum,51.2213682,4.4216136,Entire home/apt,49,1,5,2024-03-03,0.27,50,336,0,
962922608507778920,Belgielei bissines apartment,496406662,Ekaterina,,Stadspark,51.20427,4.4139,Entire home/apt,171,6,0,,,27,269,0,
963002310288741897,Amazing Duplex Loft,82036107,Barry John,,Centraal Station,51.21349550381195,4.426045316734704,Entire home/apt,148,2,85,2025-03-13,4.80,1,308,61,
963107133438926161,Luxe slaapkamer in mooi herenhuis,153542786,Lieselotte,,Oud - Berchem,51.201353,4.431580299999999,Private room,53,30,2,2023-09-29,0.11,1,158,0,
963175690733110423,One Lux Stay Antwerp Diamond District,477764326,Suitesrus Corp,,Stadspark,51.20813,4.41414,Entire home/apt,105,1,51,2025-03-15,2.67,15,0,37,
964323411881450401,Beautiful cozy apartments 1,317037207,Lisa,,Historisch Centrum,51.2240134,4.4030625,Entire home/apt,49,1,48,2025-02-24,3.53,50,353,47,
965222013240378743,Luxurious Appartment Eilandje,18992409,Veronique,,Eilandje,51.23088,4.41367,Entire home/apt,133,1,75,2025-03-16,4.08,2,123,37,
965719144480501975,Antwerp Center Cozy Cityflats 3,317037207,Lisa,,Universiteitsbuurt,51.22476899999999,4.4098738,Entire home/apt,,1,75,2025-03-07,4.02,50,311,72,
965727334423381102,Antwerp Center Cozy Cityflats 5,317037207,Lisa,,Universiteitsbuurt,51.22476899999999,4.4098738,Entire home/apt,49,1,38,2025-02-16,3.49,50,343,38,
965745369241711338,Antwerp Center Cozy Cityflats 7,317037207,Lisa,,Universiteitsbuurt,51.22476899999999,4.4098738,Entire home/apt,49,1,3,2025-02-13,0.16,50,337,2,
965749204695662869,Antwerp Center Cozy Cityflats 4,317037207,Lisa,,Universiteitsbuurt,51.22476899999999,4.4098738,Entire home/apt,49,1,90,2025-03-05,4.85,50,297,88,
965753871599821232,Antwerp Center Cozy Cityflats 6,317037207,Lisa,,Universiteitsbuurt,51.22476899999999,4.4098738,Entire home/apt,49,1,33,2025-02-23,1.78,50,345,32,
966007414583460263,Hemingway suite (B&B The Museum),83766425,Erik,,Brederode,51.20514,4.39596,Private room,176,1,0,,,2,233,0,
966019224025372117,Golden suite (B&B The Museum),83766425,Erik,,Brederode,51.20535,4.39443,Private room,183,1,0,,,2,256,0,
967971635082020276,Luxe Studio op Triple-A locatie,65016694,Maurits,,Eilandje,51.22854,4.41092,Entire home/apt,126,3,7,2025-02-03,2.04,1,79,7,
968612527766393765,Get Your Groove On!,141159863,Liselore,,Haringrode,51.2012248,4.4217832,Entire home/apt,,2,3,2023-09-24,0.16,3,0,0,
969422396017200347,New one-bedroom apartment,73195414,Ilknur,,Hoboken - West,51.1713982,4.33562,Entire home/apt,109,2,3,2024-07-17,0.21,2,364,2,
969478719211711682,Antwerp Center Cozy Cityflats 1,165436938,Ella,,Universiteitsbuurt,51.22476899999999,4.4098738,Entire home/apt,49,1,82,2025-03-17,4.35,96,354,61,
969479789643614833,Opera Square Apartment in the Heart of Antwerp 402,490705947,Emma,,Universiteitsbuurt,51.22094120000001,4.4161094,Entire home/apt,49,1,5,2025-02-12,0.28,55,315,3,
974776741843265126,Apartamento en Amberes,399039326,Karoll,,Borgerhout Intra Muros Zuid,51.20947,4.43225,Entire home/apt,,1,2,2023-10-01,0.11,1,0,0,
975007182990738332,appartement in Antwerpen,6400751,Froya,,Borgerhout Intra Muros Noord,51.21695,4.4315,Entire home/apt,60,2,15,2025-03-01,0.84,1,131,9,
975440085949124972,Zonnig centraal gelegen appartement,31235377,Steven,,Amandus - Atheneum,51.2268,4.41584,Entire home/apt,109,2,18,2025-03-03,1.01,1,13,13,
975806224194049575,Large calm & well connected flat near the MAS,61747005,Laurent,,Eilandje,51.23123,4.40299,Entire home/apt,92,4,16,2025-03-03,0.90,2,129,11,
977985082084304366,The Fashion Street Residence 3,317037207,Lisa,,Sint-Andries,51.2178968,4.3982658,Entire home/apt,49,1,22,2025-03-16,1.19,50,339,10,
978001650803005211,Down floor room in the center of Antwerp,22962538,Griet,,Stuivenberg,51.22033,4.43668,Private room,58,3,1,2023-11-01,0.06,4,293,0,
978010616227084070,Huis 3 verdiepingen met tuin,6499518,Berndt,,Deurne Dorp - Gallifort,51.226296011135204,4.4717894614074805,Entire home/apt,150,2,8,2025-01-03,0.44,3,28,5,
978034496189074388,"Spacious, well-lit & furnished",19936826,Damien,,Nieuw - Kwartier West,51.1866381,4.4283243,Entire home/apt,60,14,4,2025-01-25,0.34,1,198,4,
978070277588591022,Antwerp Authentic City Center Apartments 1,317037207,Lisa,,Universiteitsbuurt,51.2207606,4.4076878,Entire home/apt,49,1,18,2024-11-02,0.99,50,347,12,
978766409920465205,Cosy flat near central station,42891646,Sofie,,Stuivenberg,51.21872470415654,4.430377967655659,Entire home/apt,,4,2,2023-10-01,0.11,1,0,0,
979008508544326986,Luxueus penthouse in Antwerp - 4p,24229919,Ladislas,,Theaterbuurt-Meir,51.21957683301986,4.4076430071012735,Entire home/apt,120,1,1,2023-09-24,0.06,33,108,0,
979592151796139206,Gemeubelde vakantieloft in Noord-Antwerpen,501179745,Clara,,Mariaburg,51.28906,4.44078,Entire home/apt,116,6,4,2024-07-28,0.34,3,220,4,
980309842455138396,Penthouse aan park en gratis parkeren,2667940,Tim,,Stuivenberg,51.23093,4.4258,Entire home/apt,81,14,8,2024-04-29,0.50,1,313,3,
980347527543925195,Centraal gelegen appartement in Antwerpen,96360560,An,,Universiteitsbuurt,51.22669,4.4142,Entire home/apt,89,1,12,2025-03-03,0.68,1,242,4,
980354604962923361,Studio 2,514955393,Jacky,,Historisch Centrum,51.2199,4.39659,Entire home/apt,60,2,20,2025-03-13,1.13,6,70,11,
981015380863702456,Antwerp Authentic City Center Apartments 3,317037207,Lisa,,Universiteitsbuurt,51.2207606,4.4076878,Entire home/apt,49,1,21,2025-03-16,1.15,50,319,14,
981048065837998231,The Fashion Street Residence 3,165436938,Ella,,Sint-Andries,51.2178968,4.3982658,Entire home/apt,49,1,94,2025-03-09,5.57,96,339,72,
981053197836599852,La maison blanc,4209064,Frank,,Amandus - Atheneum,51.22233,4.41878,Entire home/apt,80,2,9,2025-01-03,0.52,1,156,4,
982258641320666998,Two cosy rooms with priv. bathroom in the Old Town,29812521,Wouter,,Historisch Centrum,51.22441,4.40178,Private room,102,2,44,2025-03-03,2.49,1,58,29,
982529313162714508,Uniek en mooi appartement A16-2,512977817,Mehdi,,Brederode,51.20781,4.40171,Entire home/apt,72,6,3,2025-03-09,0.42,4,270,3,
983040335866569325,Maison Généreuse Antwerp Zuid 2,504163665,Werner,,Zuid,51.20539498795653,4.390449779794897,Entire home/apt,189,1,0,,,2,365,0,
983055362503315814,Maison Généreuse Antwerp Zuid,504163665,Werner,,Zuid,51.20643519999999,4.3900026,Entire home/apt,131,1,62,2025-03-16,3.46,2,186,43,
983293082851707048,Chez Auguy et Deborah,537728175,Auguy,,Kiel,51.18286149999999,4.3828162,Private room,57,1,1,2023-10-06,0.06,1,208,0,
983848660162670659,Lux & Cozy Apt + Garden +Jaccuzi,16328101,T,,Oosterveld - Elsdonk,51.17653273851238,4.423628306884759,Entire home/apt,79,1,6,2024-12-22,0.38,1,164,5,
983984000926671806,Spacious app./city center #201,512977817,Mehdi,,Centraal Station,51.21496720203302,4.417187011639414,Entire home/apt,114,3,2,2025-01-01,0.13,4,245,1,
983993231846495175,Spacious app/City center #003,512977817,Mehdi,,Centraal Station,51.21586774627162,4.4171011809509375,Entire home/apt,,3,3,2024-10-04,0.29,4,270,3,
984539364063289807,Grote woning met tuin & parking. Centrale ligging,5875939,Joris,,Deurne Oost,51.22378,4.47842,Entire home/apt,228,1,6,2024-12-31,0.57,1,261,6,
985915804532907421,Driehuyse - F0.01 2-person studio,46395835,Kris,,Universiteitsbuurt,51.22583,4.40579,Entire home/apt,68,2,2,2024-08-13,0.25,32,53,2,
985916294990138848,K0.01 1-person room with private shower,46395835,Kris,,Universiteitsbuurt,51.22447,4.40769,Private room,42,2,3,2024-06-30,0.23,32,57,1,
985961461326277025,Antwerp Authentic City Center Apartments 4,317037207,Lisa,,Universiteitsbuurt,51.2207606,4.4076878,Entire home/apt,50,1,7,2024-10-22,0.39,50,320,5,
985971781886468372,Antwerp Authentic City Center Apartments 4,165436938,Ella,,Universiteitsbuurt,51.2207606,4.4076878,Entire home/apt,49,1,47,2025-02-23,2.66,96,320,32,
986272164120584391,Gezellige kamer Antwerpen Zuid,268960367,Koen,,Brederode,51.19848,4.3934,Private room,60,1,40,2025-02-28,2.23,1,44,17,
986583370875775478,"Apartament spațios modern, recent renovat.",477983002,Daliana,,Deurne Zuid Oost,51.20492,4.47149,Entire home/apt,117,1,9,2024-05-11,0.69,1,86,7,
986861287455306114,Downtown APT Terrace Cityview,182678477,Sleep Inn Antwerp,,Theaterbuurt-Meir,51.2141193,4.4095797,Entire home/apt,114,1,10,2024-12-16,0.58,39,341,5,
986910004705410771,Appartement bij Groen Kwartier,27275296,Gregory,,Oud - Berchem,51.20028,4.42251,Entire home/apt,70,3,47,2025-03-02,2.62,1,89,28,
988109380689235511,Driehuyse - F1.03 2-person room,46395835,Kris,,Universiteitsbuurt,51.22628,4.40745,Private room,,2,1,2024-07-21,0.12,32,0,1,
988109620199818242,Driehuyse - F1.02 2-person room,46395835,Kris,,Universiteitsbuurt,51.2257,4.40707,Private room,52,2,1,2024-07-29,0.13,32,91,1,
988130797414556624,Driehuyse - F1.04 2-person room,46395835,Kris,,Universiteitsbuurt,51.22575,4.40581,Private room,36,2,1,2024-07-22,0.12,32,62,1,
988215568900735738,Driehuyse - F1.05 2-person room,46395835,Kris,,Universiteitsbuurt,51.22556,4.40607,Private room,36,2,1,2024-07-21,0.12,32,62,1,
988222986641561972,Driehuyse - F1.06 2-person room,46395835,Kris,,Universiteitsbuurt,51.22624,4.40771,Private room,36,2,2,2024-08-12,0.25,32,62,2,
988230965691467270,Driehuyse - F2.07 1-person room,46395835,Kris,,Universiteitsbuurt,51.22483,4.40627,Private room,,2,0,,,32,0,0,
988255623696206972,Driehuyse - F2.08 2-person room,46395835,Kris,,Universiteitsbuurt,51.22434,4.40747,Private room,,2,2,2024-07-21,0.24,32,0,2,
988262234839522933,Driehuyse - F2.09 2-person room,46395835,Kris,,Universiteitsbuurt,51.22438,4.40759,Private room,41,2,5,2024-08-31,0.58,32,62,5,
988289234079262213,Driehuyse - F2.10 1-person room,46395835,Kris,,Universiteitsbuurt,51.22559,4.40707,Private room,41,2,2,2024-08-24,0.25,32,54,2,
